pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
3,0,"Johansson, Mr. Erik",0,22,0,0,350052,7.7958,,S,,156,
3,0,"Johansson, Mr. Gustaf Joel",0,33,0,0,7540,8.6542,,S,,285,
3,0,"Johansson, Mr. Karl Johan",0,31,0,0,347063,7.775,,S,,,
3,0,"Johansson, Mr. Nils",0,29,0,0,347467,7.8542,,S,,,
3,1,"Johnson, Master. Harold Theodor",0,4,1,1,347742,11.1333,,S,15,,
3,1,"Johnson, Miss. Eleanor Ileen",1,1,1,1,347742,11.1333,,S,15,,
3,0,"Johnson, Mr. Alfred",0,49,0,0,LINE,0,,S,,,
3,0,"Johnson, Mr. Malkolm Joackim",0,33,0,0,347062,7.775,,S,,37,
3,0,"Johnson, Mr. William Cahoone Jr",0,19,0,0,LINE,0,,S,,,
3,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27,0,2,347742,11.1333,,S,15,,
3,0,"Johnston, Master. William Arthur ""Willie""",0,,1,2,W./C. 6607,23.45,,S,,,
3,0,"Johnston, Miss. Catherine Helen ""Carrie""",1,,1,2,W./C. 6607,23.45,,S,,,
3,0,"Johnston, Mr. Andrew G",0,,1,2,W./C. 6607,23.45,,S,,,
3,0,"Johnston, Mrs. Andrew G (Elizabeth ""Lily"" Watson)",1,,1,2,W./C. 6607,23.45,,S,,,
3,0,"Jonkoff, Mr. Lalio",0,23,0,0,349204,7.8958,,S,,,
3,1,"Jonsson, Mr. Carl",0,32,0,0,350417,7.8542,,S,15,,
3,0,"Jonsson, Mr. Nils Hilding",0,27,0,0,350408,7.8542,,S,,,
3,0,"Jussila, Miss. Katriina",1,20,1,0,4136,9.825,,S,,,
3,0,"Jussila, Miss. Mari Aina",1,21,1,0,4137,9.825,,S,,,
3,1,"Jussila, Mr. Eiriik",0,32,0,0,STON/O 2. 3101286,7.925,,S,15,,
3,0,"Kallio, Mr. Nikolai Erland",0,17,0,0,STON/O 2. 3101274,7.125,,S,,,
3,0,"Kalvik, Mr. Johannes Halvorsen",0,21,0,0,8475,8.4333,,S,,,
3,0,"Karaic, Mr. Milan",0,30,0,0,349246,7.8958,,S,,,
3,1,"Karlsson, Mr. Einar Gervasius",0,21,0,0,350053,7.7958,,S,13,,
3,0,"Karlsson, Mr. Julius Konrad Eugen",0,33,0,0,347465,7.8542,,S,,,
3,0,"Karlsson, Mr. Nils August",0,22,0,0,350060,7.5208,,S,,,
3,1,"Karun, Miss. Manca",1,4,0,1,349256,13.4167,,C,15,,
3,1,"Karun, Mr. Franz",0,39,0,1,349256,13.4167,,C,15,,
3,0,"Kassem, Mr. Fared",0,,0,0,2700,7.2292,,C,,,
3,0,"Katavelas, Mr. Vassilios (""Catavelas Vassilios"")",0,18.5,0,0,2682,7.2292,,C,,58,
3,0,"Keane, Mr. Andrew ""Andy""",0,,0,0,12460,7.75,,Q,,,
3,0,"Keefe, Mr. Arthur",0,,0,0,323592,7.25,,S,A,,
3,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",1,,0,0,9234,7.75,,Q,16,,
3,1,"Kelly, Miss. Mary",1,,0,0,14312,7.75,,Q,D,,
3,0,"Kelly, Mr. James",0,34.5,0,0,330911,7.8292,,Q,,70,
3,0,"Kelly, Mr. James",0,44,0,0,363592,8.05,,S,,,
3,1,"Kennedy, Mr. John",0,,0,0,368783,7.75,,Q,,,
3,0,"Khalil, Mr. Betros",0,,1,0,2660,14.4542,,C,,,
3,0,"Khalil, Mrs. Betros (Zahie ""Maria"" Elias)",1,,1,0,2660,14.4542,,C,,,
3,0,"Kiernan, Mr. John",0,,1,0,367227,7.75,,Q,,,
3,0,"Kiernan, Mr. Philip",0,,1,0,367229,7.75,,Q,,,
3,0,"Kilgannon, Mr. Thomas J",0,,0,0,36865,7.7375,,Q,,,
3,0,"Kink, Miss. Maria",1,22,2,0,315152,8.6625,,S,,,
3,0,"Kink, Mr. Vincenz",0,26,2,0,315151,8.6625,,S,,,
3,1,"Kink-Heilmann, Miss. Luise Gretchen",1,4,0,2,315153,22.025,,S,2,,
3,1,"Kink-Heilmann, Mr. Anton",0,29,3,1,315153,22.025,,S,2,,
3,1,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",1,26,1,1,315153,22.025,,S,2,,
3,0,"Klasen, Miss. Gertrud Emilia",1,1,1,1,350405,12.1833,,S,,,
3,0,"Klasen, Mr. Klas Albin",0,18,1,1,350404,7.8542,,S,,,
3,0,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",1,36,0,2,350405,12.1833,,S,,,
3,0,"Kraeff, Mr. Theodor",0,,0,0,349253,7.8958,,C,,,
3,1,"Krekorian, Mr. Neshan",0,25,0,0,2654,7.2292,F E57,C,10,,
3,0,"Lahoud, Mr. Sarkis",0,,0,0,2624,7.225,,C,,,
3,0,"Laitinen, Miss. Kristina Sofia",1,37,0,0,4135,9.5875,,S,,,
